scenario,record,engine,engine_key,backend,pow_pre_reports,pow_post_reports,feeders,channels,workers,fs,duration_s,speed,chunks,deadline_misses,comp_ms_p50,comp_ms_p99,comp_ms_max,e2e_ms_p50,e2e_ms_p99,e2e_ms_max,report_period_ms,group_delay_ms,load_pct,cpu_s,wall_s,stage_a_share,kbps_total,kbps_pmu_only,kbps_continuous,reduction_x,n_events_feeder0,samples,p_in_mw_mean,p_in_mw_max,p_cpu_gpu_cv_mw_mean,gpu_util_pct_mean,cpu_util_pct_mean,acc_micro_f1,acc_macro_f1,acc_precision,acc_recall,acc_event_recall,acc_n_event_windows,acc_n_caught,acc_false_alarm_runs,acc_false_alarm_runs_quiet,acc_duty_cycle,acc_duty_cycle_quiet,acc_latency_ms,acc_bandwidth_reduction,acc_n_channels,acc_n_channels_with_events
multi,7,GridStream,gs,cpu,0,0,16,96,6,7692.0,0.2329693187727509,1.0,162,0,2.6129678190045524,4.026195934202404,5.164366921235342,19.343450640008086,28.33528234172263,28.673807275481522,8.333333333333334,16.640665626625065,31.745472768778665,0.675153728,0.262517666000349,0.9223053462019724,1305.4422857142856,1305.4422857142856,23629.824000000004,18.1010101010101,0,32,4661.34375,5493,1152.0625,0.5,11.239583333333334,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,,1000000.0,6,2
multi,7,Fixed margin,fixed,cpu,0,0,16,96,6,7692.0,0.2329693187727509,1.0,162,0,2.9377530881902203,4.356496109321595,4.977248077921104,19.614890410593944,28.551105876249494,28.64625426445855,8.333333333333334,16.640665626625065,35.69686744002091,0.724969056,0.2602714919994469,0.8129721404683196,10806.710571428572,1305.4422857142856,23629.824000000004,2.1865880319284154,1,32,4669.65625,5183,1142.3125,2.875,10.796875,0.6923076923076924,0.675,0.6428571428571429,0.75,0.6666666666666666,3,2,0,0,0.12280701754385964,0.0,0.0,666667.5714285715,6,2
multi,7,ATE-Q,Q,cpu,0,0,16,96,6,7692.0,0.2329693187727509,1.0,162,0,2.956056428956799,4.045057708135573,4.256219232047442,19.64439633229631,28.748353588598548,28.95720727246953,8.333333333333334,16.640665626625065,35.22237673934325,0.73425584,0.2622558040020522,0.7973055819228084,10485.294857142857,1305.4422857142856,23629.824000000004,2.253615594215049,2,32,4703.34375,5183,1178.28125,4.28125,11.526041666666666,0.75,0.7333333333333334,0.75,0.75,0.6666666666666666,3,2,0,0,0.10526315789473684,0.0,0.0,666667.7222222221,6,2
multi,7,ATE-S,S,cpu,0,0,16,96,6,7692.0,0.2329693187727509,1.0,162,0,3.345519959111698,6.264857872592976,7.2357656608801335,20.08492953609675,29.103771799855163,30.446272270637564,8.333333333333334,16.640665626625065,42.40939027362468,0.755686144,0.26286311599687906,0.7703740639977373,10485.294857142857,1305.4422857142856,23629.824000000004,2.253615594215049,2,32,4663.9375,5223,1157.59375,3.0,11.463541666666666,0.75,0.7333333333333334,0.75,0.75,0.6666666666666666,3,2,0,0,0.10526315789473684,0.0,0.0,666667.7222222221,6,2
multi,7,ATE-M,M,cpu,0,0,16,96,6,7692.0,0.2329693187727509,1.0,162,0,3.097270553553244,5.607676647268815,5.928479105932638,19.800512651272584,28.77698306379898,28.79301026405301,8.333333333333334,16.640665626625065,38.197679068414594,0.745417888,0.26161399300326593,0.7931357016108465,10485.294857142857,1305.4422857142856,23629.824000000004,2.253615594215049,2,32,4697.15625,5223,1165.03125,3.15625,11.114583333333334,0.7826086956521738,0.7749999999999999,0.8181818181818182,0.75,0.6666666666666666,3,2,0,0,0.09649122807017545,0.0,0.0,666667.8277777777,6,2
multi,7,ATE-N,N,cpu,0,0,16,96,6,7692.0,0.2329693187727509,1.0,162,0,3.18890936250682,5.767710914078634,6.5911386627703905,19.893317057722015,28.800002904754365,28.848595269664656,8.333333333333334,16.640665626625065,39.240421067612864,0.746222816,0.26054641099472065,0.7858833308503997,9792.46542857143,1305.4422857142856,23629.824000000004,2.4130617741121023,2,32,4666.84375,5382,1159.84375,4.40625,11.916666666666666,0.6666666666666666,0.6826923076923076,0.7777777777777778,0.5833333333333334,0.6666666666666666,3,2,0,0,0.07894736842105263,0.0,0.0,666668.0916666667,6,2
multi,7,ATE-X,X,cpu,0,0,16,96,6,7692.0,0.2329693187727509,1.0,162,12,4.043617798743071,14.107127567040152,14.132346484984737,20.7409276481485,30.749505835337914,30.77301211305894,8.333333333333334,16.640665626625065,52.301618181108665,0.90795472,0.265368786000181,0.5573712420562915,10431.176142857144,1305.4422857142856,23629.824000000004,2.2653077348502806,2,32,4769.1875,5342,1240.4375,3.34375,14.104166666666666,0.8181818181818182,0.8285714285714285,0.9,0.75,0.6666666666666666,3,2,0,0,0.08771929824561403,0.0,0.0,666667.9861111111,6,2
multi,45,GridStream,gs,cpu,0,0,16,96,6,15385.0,1.9968150796230095,1.0,1434,11,3.360077305842424,7.578648411363247,12.95057399693178,11.692655800288776,16.808400477166288,21.270366007229313,8.333333333333334,8.31979200519987,43.6190806614687,6.598734592,2.0287731010030257,0.9298618865078148,1348.1949467790762,1348.1949467790762,47262.719999999994,35.05629516926588,0,64,5406.953125,6756,1787.46875,4.296875,37.510416666666664,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0.0,,,1000000.0,6,6
multi,45,Fixed margin,fixed,cpu,0,0,16,96,6,15385.0,1.9968150796230095,1.0,1434,62,3.850294899166329,12.188516733149303,18.371861406194512,12.175665309769101,20.62045394268353,26.691653416492045,8.333333333333334,8.31979200519987,54.063620557046534,6.998162112,2.0304959659988526,0.8420273274446942,2822.6389401386673,1348.1949467790762,47262.719999999994,16.744160695833855,1,64,5742.609375,7034,2021.390625,7.34375,43.5234375,0.9666666666666666,0.9633699633699635,0.9354838709677419,1.0,1.0,6,6,0,0,0.02207977207977208,,0.0,46.52142857142857,6,6
multi,45,ATE-Q,Q,cpu,0,0,16,96,6,15385.0,1.9968150796230095,1.0,1434,3,3.6632671908591874,6.369861895364015,11.708227008057293,11.99402139900485,15.406502887490209,20.09301738871727,8.333333333333334,8.31979200519987,44.33747331063101,7.1805471999999995,2.0328401589940768,0.8349022095181163,2822.6389401386673,1348.1949467790762,47262.719999999994,16.744160695833855,1,64,5544.21875,6597,1914.796875,3.71875,39.015625,0.8727272727272727,0.7967032967032966,0.9230769230769231,0.8275862068965517,0.8333333333333334,6,5,0,0,0.01851851851851852,,0.0,166705.3880952381,6,6
