feeder,report,offset_bytes,n_ch,n_samples
0,368,0,6,128
0,369,3072,6,128
0,370,6144,6,128
0,371,9216,6,128
0,372,12288,6,128
0,609,15360,6,128
0,610,18432,6,128
0,611,21504,6,128
0,612,24576,6,128
0,613,27648,6,128
0,614,30720,6,128
0,615,33792,6,128
2,757,36864,6,128
2,758,39936,6,128
2,759,43008,6,128
2,760,46080,6,128
2,761,49152,6,128
1,778,52224,6,128
1,779,55296,6,128
1,780,58368,6,128
1,781,61440,6,128
1,782,64512,6,128
3,804,67584,6,128
3,805,70656,6,128
3,806,73728,6,128
3,807,76800,6,128
3,808,79872,6,128
4,916,82944,6,128
4,917,86016,6,128
4,918,89088,6,128
4,919,92160,6,128
4,920,95232,6,128
2,998,98304,6,128
2,999,101376,6,128
2,1000,104448,6,128
2,1001,107520,6,128
2,1002,110592,6,128
2,1003,113664,6,128
2,1004,116736,6,128
1,1019,119808,6,128
1,1020,122880,6,128
1,1021,125952,6,128
1,1022,129024,6,128
1,1023,132096,6,128
1,1024,135168,6,128
1,1025,138240,6,128
3,1045,141312,6,128
3,1046,144384,6,128
3,1047,147456,6,128
3,1048,150528,6,128
3,1049,153600,6,128
3,1050,156672,6,128
3,1051,159744,6,128
4,1157,162816,6,128
4,1158,165888,6,128
4,1159,168960,6,128
4,1160,172032,6,128
4,1161,175104,6,128
4,1162,178176,6,128
4,1163,181248,6,128
0,1199,184320,6,128
1,1199,187392,6,128
2,1199,190464,6,128
3,1199,193536,6,128
4,1199,196608,6,128
