feeder,report,offset_bytes,n_ch,n_samples
10,15,0,6,128
10,16,3072,6,128
10,17,6144,6,128
8,18,9216,6,128
10,18,12288,6,128
8,19,15360,6,128
10,19,18432,6,128
8,20,21504,6,128
10,20,24576,6,128
8,21,27648,6,128
10,21,30720,6,128
8,22,33792,6,128
6,48,36864,6,128
6,49,39936,6,128
6,50,43008,6,128
6,51,46080,6,128
6,52,49152,6,128
1,60,52224,6,128
1,61,55296,6,128
1,62,58368,6,128
1,63,61440,6,128
1,64,64512,6,128
1,65,67584,6,128
1,66,70656,6,128
7,89,73728,6,128
7,90,76800,6,128
7,91,79872,6,128
7,92,82944,6,128
7,93,86016,6,128
12,135,89088,6,128
12,136,92160,6,128
12,137,95232,6,128
12,138,98304,6,128
12,139,101376,6,128
12,140,104448,6,128
12,141,107520,6,128
15,204,110592,6,128
15,205,113664,6,128
15,206,116736,6,128
15,207,119808,6,128
15,208,122880,6,128
9,209,125952,6,128
15,209,129024,6,128
9,210,132096,6,128
15,210,135168,6,128
9,211,138240,6,128
9,212,141312,6,128
9,213,144384,6,128
0,240,147456,6,128
0,241,150528,6,128
0,242,153600,6,128
0,243,156672,6,128
0,244,159744,6,128
0,245,162816,6,128
0,246,165888,6,128
8,259,168960,6,128
8,260,172032,6,128
8,261,175104,6,128
8,262,178176,6,128
8,263,181248,6,128
8,264,184320,6,128
8,265,187392,6,128
6,289,190464,6,128
6,290,193536,6,128
6,291,196608,6,128
6,292,199680,6,128
6,293,202752,6,128
6,294,205824,6,128
6,295,208896,6,128
4,322,211968,6,128
4,323,215040,6,128
4,324,218112,6,128
4,325,221184,6,128
4,326,224256,6,128
7,330,227328,6,128
7,331,230400,6,128
7,332,233472,6,128
7,333,236544,6,128
7,334,239616,6,128
7,335,242688,6,128
7,336,245760,6,128
5,368,248832,6,128
5,369,251904,6,128
5,370,254976,6,128
5,371,258048,6,128
5,372,261120,6,128
9,450,264192,6,128
9,451,267264,6,128
9,452,270336,6,128
9,453,273408,6,128
9,454,276480,6,128
9,455,279552,6,128
9,456,282624,6,128
4,563,285696,6,128
4,564,288768,6,128
4,565,291840,6,128
4,566,294912,6,128
4,567,297984,6,128
4,568,301056,6,128
4,569,304128,6,128
13,603,307200,6,128
13,604,310272,6,128
13,605,313344,6,128
13,606,316416,6,128
13,607,319488,6,128
5,609,322560,6,128
5,610,325632,6,128
5,611,328704,6,128
3,612,331776,6,128
5,612,334848,6,128
3,613,337920,6,128
5,613,340992,6,128
3,614,344064,6,128
5,614,347136,6,128
3,615,350208,6,128
5,615,353280,6,128
3,616,356352,6,128
14,726,359424,6,128
14,727,362496,6,128
14,728,365568,6,128
14,729,368640,6,128
14,730,371712,6,128
2,763,374784,6,128
2,764,377856,6,128
2,765,380928,6,128
2,766,384000,6,128
2,767,387072,6,128
11,778,390144,6,128
11,779,393216,6,128
11,780,396288,6,128
11,781,399360,6,128
11,782,402432,6,128
13,844,405504,6,128
13,845,408576,6,128
13,846,411648,6,128
13,847,414720,6,128
13,848,417792,6,128
13,849,420864,6,128
13,850,423936,6,128
3,853,427008,6,128
3,854,430080,6,128
3,855,433152,6,128
3,856,436224,6,128
3,857,439296,6,128
3,858,442368,6,128
3,859,445440,6,128
14,967,448512,6,128
14,968,451584,6,128
14,969,454656,6,128
14,970,457728,6,128
14,971,460800,6,128
14,972,463872,6,128
14,973,466944,6,128
10,974,470016,6,128
10,975,473088,6,128
10,976,476160,6,128
10,977,479232,6,128
10,978,482304,6,128
2,1004,485376,6,128
2,1005,488448,6,128
2,1006,491520,6,128
2,1007,494592,6,128
2,1008,497664,6,128
2,1009,500736,6,128
2,1010,503808,6,128
1,1019,506880,6,128
11,1019,509952,6,128
1,1020,513024,6,128
11,1020,516096,6,128
1,1021,519168,6,128
11,1021,522240,6,128
1,1022,525312,6,128
11,1022,528384,6,128
1,1023,531456,6,128
11,1023,534528,6,128
11,1024,537600,6,128
11,1025,540672,6,128
12,1094,543744,6,128
12,1095,546816,6,128
12,1096,549888,6,128
12,1097,552960,6,128
12,1098,556032,6,128
15,1163,559104,6,128
15,1164,562176,6,128
15,1165,565248,6,128
15,1166,568320,6,128
15,1167,571392,6,128
0,1199,574464,6,128
1,1199,577536,6,128
2,1199,580608,6,128
3,1199,583680,6,128
4,1199,586752,6,128
5,1199,589824,6,128
6,1199,592896,6,128
7,1199,595968,6,128
8,1199,599040,6,128
9,1199,602112,6,128
10,1199,605184,6,128
11,1199,608256,6,128
12,1199,611328,6,128
13,1199,614400,6,128
14,1199,617472,6,128
15,1199,620544,6,128
