09-18-2026 22:15:40 RAM 3423/7486MB (lfb 46x4MB) CPU [0%@1497,27%@1497,0%@1497,0%@1497,11%@1497,0%@1497] GR3D_FREQ 0% cpu@49.625C/49.625C soc2@49.718C/49.718C soc0@49.656C/49.656C gpu@49.75C/49.75C tj@49.75C/49.75C soc1@48.75C/48.75C VDD_IN 4520mW/4520mW/4520mW VDD_CPU_GPU_CV 1238mW/1238mW/1238mW VDD_SOC 1317mW/1317mW/1317mW
09-18-2026 22:15:40 RAM 3423/7486MB (lfb 46x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.562C/49.625C soc2@49.468C/49.718C soc0@49.718C/49.718C gpu@49.75C/49.75C tj@49.75C/49.75C soc1@48.562C/48.75C VDD_IN 4400mW/4460mW/4520mW VDD_CPU_GPU_CV 1160mW/1199mW/1238mW VDD_SOC 1280mW/1299mW/1317mW
09-18-2026 22:15:40 RAM 3423/7486MB (lfb 46x4MB) CPU [0%@1497,0%@1497,18%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.687C/49.687C soc2@49.5C/49.718C soc0@49.75C/49.75C gpu@49.687C/49.75C tj@49.75C/49.75C soc1@48.718C/48.75C VDD_IN 4286mW/4402mW/4520mW VDD_CPU_GPU_CV 1080mW/1159mW/1238mW VDD_SOC 1282mW/1293mW/1317mW
09-18-2026 22:15:41 RAM 3423/7486MB (lfb 46x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.468C/49.687C soc2@49.5C/49.718C soc0@49.625C/49.75C gpu@50.25C/50.25C tj@50.25C/50.25C soc1@48.75C/48.75C VDD_IN 4206mW/4353mW/4520mW VDD_CPU_GPU_CV 1041mW/1130mW/1238mW VDD_SOC 1282mW/1290mW/1317mW
09-18-2026 22:15:41 RAM 3423/7486MB (lfb 46x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.5C/49.687C soc2@49.5C/49.718C soc0@49.656C/49.75C gpu@49.75C/50.25C tj@49.75C/50.25C soc1@48.718C/48.75C VDD_IN 4133mW/4309mW/4520mW VDD_CPU_GPU_CV 1001mW/1104mW/1238mW VDD_SOC 1282mW/1289mW/1317mW
09-18-2026 22:15:41 RAM 3423/7486MB (lfb 46x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.375C/49.687C soc2@49.375C/49.718C soc0@49.656C/49.75C gpu@49.687C/50.25C tj@49.687C/50.25C soc1@48.562C/48.75C VDD_IN 4093mW/4273mW/4520mW VDD_CPU_GPU_CV 963mW/1081mW/1238mW VDD_SOC 1284mW/1288mW/1317mW
09-18-2026 22:15:41 RAM 3423/7486MB (lfb 46x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.562C/49.687C soc2@49.468C/49.718C soc0@49.718C/49.75C gpu@50.062C/50.25C tj@50.062C/50.25C soc1@48.468C/48.75C VDD_IN 4052mW/4241mW/4520mW VDD_CPU_GPU_CV 922mW/1058mW/1238mW VDD_SOC 1284mW/1287mW/1317mW
09-18-2026 22:15:41 RAM 3423/7486MB (lfb 46x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.75C/49.75C soc2@49.5C/49.718C soc0@49.562C/49.75C gpu@49.718C/50.25C tj@49.75C/50.25C soc1@48.531C/48.75C VDD_IN 4019mW/4214mW/4520mW VDD_CPU_GPU_CV 922mW/1041mW/1238mW VDD_SOC 1284mW/1287mW/1317mW
09-18-2026 22:15:41 RAM 3423/7486MB (lfb 46x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.437C/49.75C soc2@49.437C/49.718C soc0@49.593C/49.75C gpu@49.656C/50.25C tj@49.656C/50.25C soc1@48.687C/48.75C VDD_IN 3979mW/4188mW/4520mW VDD_CPU_GPU_CV 882mW/1023mW/1238mW VDD_SOC 1284mW/1287mW/1317mW
09-18-2026 22:15:41 RAM 3423/7486MB (lfb 46x4MB) CPU [8%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.437C/49.75C soc2@49.375C/49.718C soc0@49.656C/49.75C gpu@49.718C/50.25C tj@49.718C/50.25C soc1@48.687C/48.75C VDD_IN 3938mW/4163mW/4520mW VDD_CPU_GPU_CV 882mW/1009mW/1238mW VDD_SOC 1284mW/1286mW/1317mW
09-18-2026 22:15:41 RAM 3423/7486MB (lfb 46x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@49.406C/49.75C soc2@49.5C/49.718C soc0@49.593C/49.75C gpu@49.687C/50.25C tj@49.687C/50.25C soc1@48.625C/48.75C VDD_IN 3938mW/4142mW/4520mW VDD_CPU_GPU_CV 884mW/998mW/1238mW VDD_SOC 1286mW/1286mW/1317mW
