09-18-2026 22:22:21 RAM 3483/7486MB (lfb 42x4MB) CPU [16%@1497,0%@1497,16%@1497,9%@1497,11%@1497,9%@1497] GR3D_FREQ 0% cpu@46.906C/46.906C soc2@46.718C/46.718C soc0@46.937C/46.937C gpu@47C/47C tj@47C/47C soc1@46.062C/46.062C VDD_IN 4600mW/4600mW/4600mW VDD_CPU_GPU_CV 1277mW/1277mW/1277mW VDD_SOC 1317mW/1317mW/1317mW
09-18-2026 22:22:21 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.75C/46.906C soc2@46.718C/46.718C soc0@46.968C/46.968C gpu@46.906C/47C tj@46.968C/47C soc1@46.062C/46.062C VDD_IN 4480mW/4540mW/4600mW VDD_CPU_GPU_CV 1200mW/1239mW/1277mW VDD_SOC 1280mW/1299mW/1317mW
09-18-2026 22:22:22 RAM 3483/7486MB (lfb 42x4MB) CPU [18%@1497,0%@1497,0%@1497,0%@1497,9%@1497,0%@1497] GR3D_FREQ 2% cpu@46.718C/46.906C soc2@46.687C/46.718C soc0@46.968C/46.968C gpu@47.375C/47.375C tj@47.375C/47.375C soc1@45.968C/46.062C VDD_IN 4366mW/4482mW/4600mW VDD_CPU_GPU_CV 1120mW/1199mW/1277mW VDD_SOC 1282mW/1293mW/1317mW
09-18-2026 22:22:22 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.687C/46.906C soc2@46.687C/46.718C soc0@47.093C/47.093C gpu@47C/47.375C tj@47.093C/47.375C soc1@45.875C/46.062C VDD_IN 4246mW/4423mW/4600mW VDD_CPU_GPU_CV 1041mW/1160mW/1277mW VDD_SOC 1282mW/1290mW/1317mW
09-18-2026 22:22:22 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,9%@1497,0%@1497] GR3D_FREQ 0% cpu@46.937C/46.937C soc2@46.593C/46.718C soc0@46.937C/47.093C gpu@46.875C/47.375C tj@46.937C/47.375C soc1@45.906C/46.062C VDD_IN 4173mW/4373mW/4600mW VDD_CPU_GPU_CV 1001mW/1128mW/1277mW VDD_SOC 1282mW/1289mW/1317mW
09-18-2026 22:22:22 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.687C/46.937C soc2@46.625C/46.718C soc0@46.968C/47.093C gpu@47.281C/47.375C tj@47.281C/47.375C soc1@46C/46.062C VDD_IN 4093mW/4326mW/4600mW VDD_CPU_GPU_CV 963mW/1100mW/1277mW VDD_SOC 1284mW/1288mW/1317mW
09-18-2026 22:22:22 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.625C/46.937C soc2@46.656C/46.718C soc0@47.031C/47.093C gpu@46.937C/47.375C tj@47.031C/47.375C soc1@45.875C/46.062C VDD_IN 4052mW/4287mW/4600mW VDD_CPU_GPU_CV 963mW/1081mW/1277mW VDD_SOC 1284mW/1287mW/1317mW
09-18-2026 22:22:22 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.625C/46.937C soc2@46.625C/46.718C soc0@47.031C/47.093C gpu@46.937C/47.375C tj@47.031C/47.375C soc1@45.937C/46.062C VDD_IN 4059mW/4259mW/4600mW VDD_CPU_GPU_CV 922mW/1061mW/1277mW VDD_SOC 1243mW/1282mW/1317mW
09-18-2026 22:22:22 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.812C/46.937C soc2@46.562C/46.718C soc0@46.875C/47.093C gpu@47.25C/47.375C tj@47.25C/47.375C soc1@45.968C/46.062C VDD_IN 3979mW/4228mW/4600mW VDD_CPU_GPU_CV 882mW/1041mW/1277mW VDD_SOC 1243mW/1277mW/1317mW
09-18-2026 22:22:22 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.718C/46.937C soc2@46.656C/46.718C soc0@46.875C/47.093C gpu@46.875C/47.375C tj@46.875C/47.375C soc1@46.031C/46.062C VDD_IN 3938mW/4199mW/4600mW VDD_CPU_GPU_CV 882mW/1025mW/1277mW VDD_SOC 1245mW/1274mW/1317mW
09-18-2026 22:22:22 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/46.937C soc2@46.75C/46.75C soc0@47C/47.093C gpu@46.843C/47.375C tj@47C/47.375C soc1@46.125C/46.125C VDD_IN 3938mW/4175mW/4600mW VDD_CPU_GPU_CV 884mW/1012mW/1277mW VDD_SOC 1245mW/1272mW/1317mW
