09-18-2026 22:22:29 RAM 3481/7486MB (lfb 42x4MB) CPU [27%@1497,10%@1497,45%@1497,0%@1497,0%@1497,18%@1497] GR3D_FREQ 0% cpu@46.75C/46.75C soc2@46.656C/46.656C soc0@46.906C/46.906C gpu@47.25C/47.25C tj@47.25C/47.25C soc1@46.031C/46.031C VDD_IN 4632mW/4632mW/4632mW VDD_CPU_GPU_CV 1317mW/1317mW/1317mW VDD_SOC 1317mW/1317mW/1317mW
09-18-2026 22:22:29 RAM 3481/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.656C/46.75C soc2@46.593C/46.656C soc0@47.031C/47.031C gpu@47.031C/47.25C tj@47.031C/47.25C soc1@45.812C/46.031C VDD_IN 4480mW/4556mW/4632mW VDD_CPU_GPU_CV 1200mW/1259mW/1317mW VDD_SOC 1280mW/1299mW/1317mW
09-18-2026 22:22:30 RAM 3481/7486MB (lfb 42x4MB) CPU [0%@1497,30%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.906C/46.906C soc2@46.625C/46.656C soc0@46.906C/47.031C gpu@46.937C/47.25C tj@46.937C/47.25C soc1@45.875C/46.031C VDD_IN 4407mW/4506mW/4632mW VDD_CPU_GPU_CV 1160mW/1226mW/1317mW VDD_SOC 1280mW/1292mW/1317mW
09-18-2026 22:22:30 RAM 3481/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.812C/46.906C soc2@46.593C/46.656C soc0@46.812C/47.031C gpu@47.125C/47.25C tj@47.125C/47.25C soc1@46C/46.031C VDD_IN 4286mW/4451mW/4632mW VDD_CPU_GPU_CV 1081mW/1190mW/1317mW VDD_SOC 1282mW/1290mW/1317mW
09-18-2026 22:22:30 RAM 3481/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.468C/46.906C soc2@46.625C/46.656C soc0@46.937C/47.031C gpu@46.968C/47.25C tj@46.968C/47.25C soc1@46.031C/46.031C VDD_IN 4173mW/4396mW/4632mW VDD_CPU_GPU_CV 1041mW/1160mW/1317mW VDD_SOC 1282mW/1288mW/1317mW
09-18-2026 22:22:30 RAM 3481/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/46.906C soc2@46.593C/46.656C soc0@46.906C/47.031C gpu@46.875C/47.25C tj@46.906C/47.25C soc1@45.843C/46.031C VDD_IN 4093mW/4345mW/4632mW VDD_CPU_GPU_CV 1003mW/1134mW/1317mW VDD_SOC 1284mW/1288mW/1317mW
09-18-2026 22:22:30 RAM 3481/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.781C/46.906C soc2@46.593C/46.656C soc0@47.062C/47.062C gpu@47.093C/47.25C tj@47.093C/47.25C soc1@45.812C/46.031C VDD_IN 4012mW/4298mW/4632mW VDD_CPU_GPU_CV 963mW/1109mW/1317mW VDD_SOC 1284mW/1287mW/1317mW
09-18-2026 22:22:30 RAM 3481/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.781C/46.906C soc2@46.593C/46.656C soc0@46.781C/47.062C gpu@46.906C/47.25C tj@46.906C/47.25C soc1@45.875C/46.031C VDD_IN 3979mW/4258mW/4632mW VDD_CPU_GPU_CV 922mW/1086mW/1317mW VDD_SOC 1243mW/1282mW/1317mW
09-18-2026 22:22:30 RAM 3481/7486MB (lfb 42x4MB) CPU [8%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.531C/46.906C soc2@46.593C/46.656C soc0@46.812C/47.062C gpu@47.281C/47.281C tj@47.281C/47.281C soc1@46C/46.031C VDD_IN 3938mW/4222mW/4632mW VDD_CPU_GPU_CV 882mW/1063mW/1317mW VDD_SOC 1243mW/1277mW/1317mW
09-18-2026 22:22:30 RAM 3481/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,8%@1497,0%@1497] GR3D_FREQ 0% cpu@46.531C/46.906C soc2@46.531C/46.656C soc0@46.843C/47.062C gpu@47.031C/47.281C tj@47.031C/47.281C soc1@45.843C/46.031C VDD_IN 3938mW/4194mW/4632mW VDD_CPU_GPU_CV 882mW/1045mW/1317mW VDD_SOC 1245mW/1274mW/1317mW
09-18-2026 22:22:30 RAM 3481/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.593C/46.906C soc2@46.531C/46.656C soc0@47C/47.062C gpu@46.968C/47.281C tj@47C/47.281C soc1@45.812C/46.031C VDD_IN 3898mW/4167mW/4632mW VDD_CPU_GPU_CV 884mW/1030mW/1317mW VDD_SOC 1245mW/1271mW/1317mW
09-18-2026 22:22:31 RAM 3481/7486MB (lfb 42x4MB) CPU [8%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.812C/46.906C soc2@46.593C/46.656C soc0@46.781C/47.062C gpu@47.187C/47.281C tj@47.187C/47.281C soc1@45.843C/46.031C VDD_IN 3858mW/4141mW/4632mW VDD_CPU_GPU_CV 844mW/1015mW/1317mW VDD_SOC 1245mW/1269mW/1317mW
09-18-2026 22:22:31 RAM 3481/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,16%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.875C/46.906C soc2@46.593C/46.656C soc0@46.812C/47.062C gpu@47.062C/47.281C tj@47.062C/47.281C soc1@45.906C/46.031C VDD_IN 3858mW/4119mW/4632mW VDD_CPU_GPU_CV 844mW/1002mW/1317mW VDD_SOC 1245mW/1267mW/1317mW
09-18-2026 22:22:31 RAM 3481/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.5C/46.906C soc2@46.593C/46.656C soc0@46.75C/47.062C gpu@46.781C/47.281C tj@46.937C/47.281C soc1@46C/46.031C VDD_IN 3858mW/4101mW/4632mW VDD_CPU_GPU_CV 844mW/990mW/1317mW VDD_SOC 1245mW/1266mW/1317mW
09-18-2026 22:22:31 RAM 3481/7486MB (lfb 42x4MB) CPU [0%@1497,80%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 16% cpu@46.625C/46.906C soc2@46.562C/46.656C soc0@46.875C/47.062C gpu@47.062C/47.281C tj@47.062C/47.281C soc1@45.781C/46.031C VDD_IN 4012mW/4095mW/4632mW VDD_CPU_GPU_CV 963mW/989mW/1317mW VDD_SOC 1284mW/1267mW/1317mW
09-18-2026 22:22:31 RAM 3481/7486MB (lfb 42x4MB) CPU [0%@1497,100%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 14% cpu@47.031C/47.031C soc2@46.5C/46.656C soc0@47.062C/47.062C gpu@47C/47.281C tj@47.062C/47.281C soc1@45.781C/46.031C VDD_IN 4206mW/4102mW/4632mW VDD_CPU_GPU_CV 1081mW/994mW/1317mW VDD_SOC 1282mW/1268mW/1317mW
09-18-2026 22:22:31 RAM 3481/7486MB (lfb 42x4MB) CPU [0%@1497,100%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 15% cpu@47.031C/47.031C soc2@46.687C/46.687C soc0@46.812C/47.062C gpu@46.937C/47.281C tj@47.031C/47.281C soc1@45.843C/46.031C VDD_IN 4366mW/4117mW/4632mW VDD_CPU_GPU_CV 1200mW/1007mW/1317mW VDD_SOC 1280mW/1269mW/1317mW
09-18-2026 22:22:31 RAM 3481/7486MB (lfb 42x4MB) CPU [8%@1497,100%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 14% cpu@46.781C/47.031C soc2@46.625C/46.687C soc0@46.875C/47.062C gpu@47.187C/47.281C tj@47.187C/47.281C soc1@45.968C/46.031C VDD_IN 4480mW/4137mW/4632mW VDD_CPU_GPU_CV 1277mW/1022mW/1317mW VDD_SOC 1280mW/1269mW/1317mW
09-18-2026 22:22:31 RAM 3481/7486MB (lfb 42x4MB) CPU [0%@1497,100%@1497,0%@1497,9%@1497,0%@1497,0%@1497] GR3D_FREQ 14% cpu@46.75C/47.031C soc2@46.656C/46.687C soc0@46.906C/47.062C gpu@47C/47.281C tj@47C/47.281C soc1@45.843C/46.031C VDD_IN 4560mW/4160mW/4632mW VDD_CPU_GPU_CV 1317mW/1037mW/1317mW VDD_SOC 1317mW/1272mW/1317mW
