09-18-2026 22:22:19 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,18%@1497,10%@1497,0%@1497] GR3D_FREQ 0% cpu@46.781C/46.781C soc2@46.718C/46.718C soc0@47.031C/47.031C gpu@46.937C/46.937C tj@47.093C/47.093C soc1@45.937C/45.937C VDD_IN 4560mW/4560mW/4560mW VDD_CPU_GPU_CV 1277mW/1277mW/1277mW VDD_SOC 1317mW/1317mW/1317mW
09-18-2026 22:22:20 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,8%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47C/47C soc2@46.75C/46.75C soc0@47.218C/47.218C gpu@47.062C/47.062C tj@47.218C/47.218C soc1@46.031C/46.031C VDD_IN 4407mW/4484mW/4560mW VDD_CPU_GPU_CV 1160mW/1219mW/1277mW VDD_SOC 1280mW/1299mW/1317mW
09-18-2026 22:22:20 RAM 3483/7486MB (lfb 42x4MB) CPU [18%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.812C/47C soc2@46.781C/46.781C soc0@47C/47.218C gpu@46.968C/47.062C tj@47C/47.218C soc1@46.093C/46.093C VDD_IN 4326mW/4431mW/4560mW VDD_CPU_GPU_CV 1121mW/1186mW/1277mW VDD_SOC 1282mW/1293mW/1317mW
09-18-2026 22:22:20 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.875C/47C soc2@46.75C/46.781C soc0@47C/47.218C gpu@46.906C/47.062C tj@47C/47.218C soc1@46.125C/46.125C VDD_IN 4213mW/4377mW/4560mW VDD_CPU_GPU_CV 1041mW/1150mW/1277mW VDD_SOC 1282mW/1290mW/1317mW
09-18-2026 22:22:20 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,8%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.75C/47C soc2@46.625C/46.781C soc0@47.062C/47.218C gpu@47.062C/47.062C tj@47.062C/47.218C soc1@46C/46.125C VDD_IN 4133mW/4328mW/4560mW VDD_CPU_GPU_CV 1001mW/1120mW/1277mW VDD_SOC 1284mW/1289mW/1317mW
09-18-2026 22:22:20 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,9%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47C/47C soc2@46.656C/46.781C soc0@47.156C/47.218C gpu@46.937C/47.062C tj@47.156C/47.218C soc1@45.968C/46.125C VDD_IN 4052mW/4282mW/4560mW VDD_CPU_GPU_CV 963mW/1094mW/1277mW VDD_SOC 1284mW/1288mW/1317mW
09-18-2026 22:22:20 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.656C/47C soc2@46.656C/46.781C soc0@46.937C/47.218C gpu@46.875C/47.062C tj@46.937C/47.218C soc1@46.093C/46.125C VDD_IN 4012mW/4243mW/4560mW VDD_CPU_GPU_CV 922mW/1069mW/1277mW VDD_SOC 1284mW/1288mW/1317mW
09-18-2026 22:22:20 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.75C/47C soc2@46.812C/46.812C soc0@47C/47.218C gpu@47.343C/47.343C tj@47.343C/47.343C soc1@46.125C/46.125C VDD_IN 3979mW/4210mW/4560mW VDD_CPU_GPU_CV 922mW/1051mW/1277mW VDD_SOC 1243mW/1282mW/1317mW
09-18-2026 22:22:20 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.656C/47C soc2@46.625C/46.812C soc0@47.031C/47.218C gpu@46.968C/47.343C tj@47.031C/47.343C soc1@46C/46.125C VDD_IN 3938mW/4180mW/4560mW VDD_CPU_GPU_CV 882mW/1032mW/1277mW VDD_SOC 1243mW/1278mW/1317mW
09-18-2026 22:22:20 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.781C/47C soc2@46.656C/46.812C soc0@47.093C/47.218C gpu@46.906C/47.343C tj@47.093C/47.343C soc1@45.937C/46.125C VDD_IN 3898mW/4152mW/4560mW VDD_CPU_GPU_CV 884mW/1017mW/1277mW VDD_SOC 1245mW/1274mW/1317mW
09-18-2026 22:22:20 RAM 3483/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.968C/47C soc2@46.625C/46.812C soc0@47.125C/47.218C gpu@47.031C/47.343C tj@47.031C/47.343C soc1@46C/46.125C VDD_IN 3898mW/4129mW/4560mW VDD_CPU_GPU_CV 884mW/1005mW/1277mW VDD_SOC 1245mW/1272mW/1317mW
