09-18-2026 22:22:17 RAM 3482/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,9%@1497,9%@1497,20%@1497,9%@1497] GR3D_FREQ 0% cpu@47.062C/47.062C soc2@46.843C/46.843C soc0@47.093C/47.093C gpu@47.25C/47.25C tj@47.25C/47.25C soc1@46.093C/46.093C VDD_IN 4784mW/4784mW/4784mW VDD_CPU_GPU_CV 1395mW/1395mW/1395mW VDD_SOC 1315mW/1315mW/1315mW
09-18-2026 22:22:17 RAM 3482/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.937C/47.062C soc2@46.875C/46.875C soc0@47.062C/47.093C gpu@47.125C/47.25C tj@47.125C/47.25C soc1@46.156C/46.156C VDD_IN 4600mW/4692mW/4784mW VDD_CPU_GPU_CV 1277mW/1336mW/1395mW VDD_SOC 1277mW/1296mW/1315mW
09-18-2026 22:22:18 RAM 3482/7486MB (lfb 42x4MB) CPU [10%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 3% cpu@46.937C/47.062C soc2@46.812C/46.875C soc0@47.093C/47.093C gpu@47.25C/47.25C tj@47.25C/47.25C soc1@46.031C/46.156C VDD_IN 4440mW/4608mW/4784mW VDD_CPU_GPU_CV 1200mW/1291mW/1395mW VDD_SOC 1280mW/1291mW/1315mW
09-18-2026 22:22:18 RAM 3482/7486MB (lfb 42x4MB) CPU [8%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.843C/47.062C soc2@46.75C/46.875C soc0@47.187C/47.187C gpu@47.125C/47.25C tj@47.187C/47.25C soc1@46.062C/46.156C VDD_IN 4326mW/4538mW/4784mW VDD_CPU_GPU_CV 1120mW/1248mW/1395mW VDD_SOC 1280mW/1288mW/1315mW
09-18-2026 22:22:18 RAM 3482/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,9%@1497] GR3D_FREQ 0% cpu@46.937C/47.062C soc2@46.812C/46.875C soc0@47.031C/47.187C gpu@47.093C/47.25C tj@47.093C/47.25C soc1@46.062C/46.156C VDD_IN 4206mW/4471mW/4784mW VDD_CPU_GPU_CV 1041mW/1207mW/1395mW VDD_SOC 1282mW/1287mW/1315mW
09-18-2026 22:22:18 RAM 3482/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47.062C/47.062C soc2@46.781C/46.875C soc0@46.968C/47.187C gpu@47.343C/47.343C tj@47.343C/47.343C soc1@46.156C/46.156C VDD_IN 4133mW/4415mW/4784mW VDD_CPU_GPU_CV 1001mW/1172mW/1395mW VDD_SOC 1282mW/1286mW/1315mW
09-18-2026 22:22:18 RAM 3482/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.718C/47.062C soc2@46.656C/46.875C soc0@47.093C/47.187C gpu@47.156C/47.343C tj@47.156C/47.343C soc1@46.187C/46.187C VDD_IN 4052mW/4363mW/4784mW VDD_CPU_GPU_CV 963mW/1142mW/1395mW VDD_SOC 1284mW/1286mW/1315mW
09-18-2026 22:22:18 RAM 3482/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.906C/47.062C soc2@46.75C/46.875C soc0@47.093C/47.187C gpu@47.343C/47.343C tj@47.343C/47.343C soc1@46C/46.187C VDD_IN 4012mW/4319mW/4784mW VDD_CPU_GPU_CV 922mW/1115mW/1395mW VDD_SOC 1243mW/1280mW/1315mW
09-18-2026 22:22:18 RAM 3482/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.875C/47.062C soc2@46.656C/46.875C soc0@47C/47.187C gpu@47.187C/47.343C tj@47.187C/47.343C soc1@46.031C/46.187C VDD_IN 4019mW/4286mW/4784mW VDD_CPU_GPU_CV 922mW/1093mW/1395mW VDD_SOC 1243mW/1276mW/1315mW
09-18-2026 22:22:18 RAM 3482/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@47C/47.062C soc2@46.75C/46.875C soc0@47.031C/47.187C gpu@47.093C/47.343C tj@47.093C/47.343C soc1@46.062C/46.187C VDD_IN 3979mW/4255mW/4784mW VDD_CPU_GPU_CV 882mW/1072mW/1395mW VDD_SOC 1243mW/1273mW/1315mW
09-18-2026 22:22:18 RAM 3482/7486MB (lfb 42x4MB) CPU [0%@1497,0%@1497,0%@1497,0%@1497,0%@1497,0%@1497] GR3D_FREQ 0% cpu@46.843C/47.062C soc2@46.812C/46.875C soc0@46.968C/47.187C gpu@47.281C/47.343C tj@47.281C/47.343C soc1@46.093C/46.187C VDD_IN 3938mW/4226mW/4784mW VDD_CPU_GPU_CV 882mW/1055mW/1395mW VDD_SOC 1243mW/1270mW/1315mW
