scenario,record,engine,engine_key,backend,pow_pre_reports,pow_post_reports,feeders,channels,workers,fs,duration_s,speed,chunks,deadline_misses,comp_ms_p50,comp_ms_p99,comp_ms_max,e2e_ms_p50,e2e_ms_p99,e2e_ms_max,report_period_ms,group_delay_ms,load_pct,cpu_s,wall_s,stage_a_share,kbps_total,kbps_pmu_only,kbps_continuous,reduction_x,n_events_feeder0,samples,p_in_mw_mean,p_in_mw_max,p_cpu_gpu_cv_mw_mean,gpu_util_pct_mean,cpu_util_pct_mean,acc_micro_f1,acc_macro_f1,acc_precision,acc_recall,acc_event_recall,acc_n_event_windows,acc_n_caught,acc_false_alarm_runs,acc_false_alarm_runs_quiet,acc_duty_cycle,acc_duty_cycle_quiet,acc_latency_ms,acc_bandwidth_reduction,acc_n_channels,acc_n_channels_with_events
multi,7,GridStream,gs,gpu,0,0,16,96,1,7692.0,0.2329693187727509,1.0,27,27,268.81788341415813,342.54470354833757,342.8939342556987,291.39730222232174,364.6708179425332,366.25172726780875,8.333333333333334,16.640665626625065,3166.0284662567487,0.5253973439999999,0.594625993995578,0.9839260908525476,1305.4422857142856,1305.4422857142856,23629.824000000004,18.1010101010101,0,38,4704.894736842105,5493,1239.2894736842106,5.105263157894737,11.078947368421053,0.0,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,,1000000.0,6,2
multi,7,Fixed margin,fixed,gpu,0,0,16,96,1,7692.0,0.2329693187727509,1.0,27,25,84.14214441290824,170.2364184142789,170.62911122775404,107.07574822299648,193.06433746212858,195.33009926817613,8.333333333333334,16.640665626625065,1026.748688946504,0.3981409600000001,0.426231766003184,0.9562272262507787,10806.710571428572,1305.4422857142856,23629.824000000004,2.1865880319284154,1,36,4377.944444444444,4944,1049.1666666666667,4.805555555555555,5.643518518518518,0.6923076923076924,0.675,0.6428571428571429,0.75,0.6666666666666666,3,2,0,0,0.12280701754385964,0.0,0.0,666667.5714285715,6,2
multi,7,ATE-Q,Q,gpu,0,0,16,96,1,7692.0,0.2329693187727509,1.0,27,25,82.49809841800015,161.21143244658015,161.46334125369322,106.42139422270702,183.5247043412528,185.19544926675735,8.333333333333334,16.640665626625065,1002.5694858535037,0.39245638399999994,0.41458952100219904,0.9546298991486012,10485.294857142857,1305.4422857142856,23629.824000000004,2.253615594215049,2,36,4325.222222222223,4984,1016.3055555555555,3.5833333333333335,4.268518518518518,0.75,0.7333333333333334,0.75,0.75,0.6666666666666666,3,2,0,0,0.10526315789473684,0.0,0.0,666667.7222222221,6,2
multi,7,ATE-S,S,gpu,0,0,16,96,1,7692.0,0.2329693187727509,1.0,27,25,84.30691741523333,160.80981843086192,161.1306602571858,107.44593523122603,182.99052682705224,184.59764127328526,8.333333333333334,16.640665626625065,1009.0762418824144,0.3931614079999992,0.41478782999911346,0.9445629221958385,10485.294857142857,1305.4422857142856,23629.824000000004,2.253615594215049,2,35,4608.8,5055,1196.2,4.085714285714285,9.60952380952381,0.75,0.7333333333333334,0.75,0.75,0.6666666666666666,3,2,0,0,0.10526315789473684,0.0,0.0,666667.7222222221,6,2
multi,7,ATE-M,M,gpu,0,0,16,96,1,7692.0,0.2329693187727509,1.0,27,25,85.09503541426966,160.64694764689193,160.9343672535033,107.8893082230934,182.8919295425294,184.52989526849706,8.333333333333334,16.640665626625065,1011.8360836026518,0.39198835200000026,0.41384102000301937,0.9529134741850768,10485.294857142857,1305.4422857142856,23629.824000000004,2.253615594215049,2,36,4380.694444444444,5015,1050.3333333333333,4.111111111111111,5.643518518518519,0.7826086956521738,0.7749999999999999,0.8181818181818182,0.75,0.6666666666666666,3,2,0,0,0.09649122807017545,0.0,0.0,666667.8277777777,6,2
multi,7,ATE-N,N,gpu,0,0,16,96,1,7692.0,0.2329693187727509,1.0,27,25,90.89126141770976,169.33005403261632,169.63160126033472,114.0862482279772,191.54786742612487,193.17279227107065,8.333333333333334,16.640665626625065,1066.9595383288752,0.3986248639999994,0.42282047100161435,0.9485951009844436,9792.46542857143,1305.4422857142856,23629.824000000004,2.4130617741121023,2,36,4491.138888888889,5214,1155.25,4.416666666666667,9.347222222222221,0.6666666666666666,0.6826923076923076,0.7777777777777778,0.5833333333333334,0.6666666666666666,3,2,0,0,0.07894736842105263,0.0,0.0,666668.0916666667,6,2
multi,7,ATE-X,X,gpu,0,0,16,96,1,7692.0,0.2329693187727509,1.0,27,25,119.26446741563268,245.89764617208857,246.58908522542333,146.36567622073926,268.7485456999275,271.2900732658454,8.333333333333334,16.640665626625065,1439.0796186990983,0.48710582400000035,0.5086835359979887,0.7542882656392736,10431.176142857144,1305.4422857142856,23629.824000000004,2.2653077348502806,2,37,4354.945945945946,5055,1049.2702702702702,4.0,4.707207207207207,0.8181818181818182,0.8285714285714285,0.9,0.75,0.6666666666666666,3,2,0,0,0.08771929824561403,0.0,0.0,666667.9861111111,6,2
multi,45,GridStream,gs,gpu,0,0,16,96,1,15385.0,1.9968150796230095,1.0,239,238,834.8684660013532,1619.5808970570215,1630.6969163779286,846.4400245029537,1627.9670629900647,1644.1515800106572,8.333333333333334,8.31979200519987,9910.247724823785,3.5894341119999993,3.650561246002326,0.9673569107160378,1348.1949467790762,1348.1949467790762,47262.719999999994,35.05629516926588,0,96,4802.458333333333,5294,1359.78125,11.916666666666666,13.255208333333334,0.0,0.0,0.0,0.0,0.0,6,0,0,0,0.0,,,1000000.0,6,6
multi,45,Fixed margin,fixed,gpu,0,0,16,96,1,15385.0,1.9968150796230095,1.0,239,238,782.5519030011492,1541.6594650580373,1553.89979838219,793.9976180023223,1550.0542929910443,1567.3544620149187,8.333333333333334,8.31979200519987,9320.399002831578,3.5233111359999985,3.573864516998583,0.9587641948574832,2822.6389401386673,1348.1949467790762,47262.719999999994,16.744160695833855,1,96,4820.458333333333,5493,1377.5833333333333,12.84375,13.171875,0.9666666666666666,0.9633699633699635,0.9354838709677419,1.0,1.0,6,6,0,0,0.02207977207977208,,0.0,46.52142857142857,6,6
multi,45,ATE-Q,Q,gpu,0,0,16,96,1,15385.0,1.9968150796230095,1.0,239,238,805.1981669996167,1618.0943405121798,1629.8673573764972,816.7671815026551,1626.4881197751674,1643.3220210092259,8.333333333333334,8.31979200519987,9693.063389731544,3.5965675200000007,3.6487830840051174,0.9555066820320447,2822.6389401386673,1348.1949467790762,47262.719999999994,16.744160695833855,1,96,4945.041666666667,5811,1486.5,13.041666666666666,16.131944444444446,0.8727272727272727,0.7967032967032966,0.9230769230769231,0.8275862068965517,0.8333333333333334,6,5,0,0,0.01851851851851852,,0.0,166705.3880952381,6,6
