feeder,report,offset_bytes,n_ch,n_samples
10,15,0,6,128
10,16,3072,6,128
10,17,6144,6,128
8,18,9216,6,128
10,18,12288,6,128
8,19,15360,6,128
10,19,18432,6,128
22,19,21504,6,128
8,20,24576,6,128
10,20,27648,6,128
22,20,30720,6,128
8,21,33792,6,128
10,21,36864,6,128
22,21,39936,6,128
8,22,43008,6,128
22,22,46080,6,128
22,23,49152,6,128
22,24,52224,6,128
22,25,55296,6,128
28,39,58368,6,128
28,40,61440,6,128
28,41,64512,6,128
28,42,67584,6,128
28,43,70656,6,128
6,48,73728,6,128
6,49,76800,6,128
6,50,79872,6,128
6,51,82944,6,128
6,52,86016,6,128
31,55,89088,6,128
31,56,92160,6,128
31,57,95232,6,128
31,58,98304,6,128
31,59,101376,6,128
1,60,104448,6,128
31,60,107520,6,128
1,61,110592,6,128
31,61,113664,6,128
1,62,116736,6,128
1,63,119808,6,128
1,64,122880,6,128
1,65,125952,6,128
1,66,129024,6,128
26,68,132096,6,128
26,69,135168,6,128
26,70,138240,6,128
26,71,141312,6,128
26,72,144384,6,128
26,73,147456,6,128
26,74,150528,6,128
7,89,153600,6,128
7,90,156672,6,128
7,91,159744,6,128
7,92,162816,6,128
7,93,165888,6,128
12,135,168960,6,128
12,136,172032,6,128
12,137,175104,6,128
12,138,178176,6,128
12,139,181248,6,128
12,140,184320,6,128
12,141,187392,6,128
20,162,190464,6,128
20,163,193536,6,128
20,164,196608,6,128
20,165,199680,6,128
20,166,202752,6,128
20,167,205824,6,128
20,168,208896,6,128
15,204,211968,6,128
15,205,215040,6,128
15,206,218112,6,128
15,207,221184,6,128
15,208,224256,6,128
9,209,227328,6,128
15,209,230400,6,128
9,210,233472,6,128
15,210,236544,6,128
9,211,239616,6,128
9,212,242688,6,128
9,213,245760,6,128
0,240,248832,6,128
0,241,251904,6,128
0,242,254976,6,128
0,243,258048,6,128
24,243,261120,6,128
0,244,264192,6,128
24,244,267264,6,128
0,245,270336,6,128
24,245,273408,6,128
0,246,276480,6,128
24,246,279552,6,128
24,247,282624,6,128
24,248,285696,6,128
24,249,288768,6,128
8,259,291840,6,128
8,260,294912,6,128
8,261,297984,6,128
8,262,301056,6,128
8,263,304128,6,128
8,264,307200,6,128
8,265,310272,6,128
28,280,313344,6,128
28,281,316416,6,128
28,282,319488,6,128
28,283,322560,6,128
28,284,325632,6,128
28,285,328704,6,128
28,286,331776,6,128
6,289,334848,6,128
6,290,337920,6,128
6,291,340992,6,128
6,292,344064,6,128
6,293,347136,6,128
6,294,350208,6,128
6,295,353280,6,128
4,322,356352,6,128
4,323,359424,6,128
4,324,362496,6,128
4,325,365568,6,128
4,326,368640,6,128
7,330,371712,6,128
7,331,374784,6,128
21,331,377856,6,128
7,332,380928,6,128
21,332,384000,6,128
7,333,387072,6,128
21,333,390144,6,128
7,334,393216,6,128
21,334,396288,6,128
7,335,399360,6,128
21,335,402432,6,128
7,336,405504,6,128
5,368,408576,6,128
5,369,411648,6,128
5,370,414720,6,128
5,371,417792,6,128
5,372,420864,6,128
9,450,423936,6,128
9,451,427008,6,128
9,452,430080,6,128
9,453,433152,6,128
9,454,436224,6,128
9,455,439296,6,128
9,456,442368,6,128
25,471,445440,6,128
25,472,448512,6,128
25,473,451584,6,128
25,474,454656,6,128
25,475,457728,6,128
4,563,460800,6,128
4,564,463872,6,128
4,565,466944,6,128
4,566,470016,6,128
4,567,473088,6,128
4,568,476160,6,128
4,569,479232,6,128
21,572,482304,6,128
21,573,485376,6,128
21,574,488448,6,128
21,575,491520,6,128
21,576,494592,6,128
21,577,497664,6,128
21,578,500736,6,128
13,603,503808,6,128
13,604,506880,6,128
13,605,509952,6,128
13,606,513024,6,128
13,607,516096,6,128
5,609,519168,6,128
5,610,522240,6,128
5,611,525312,6,128
3,612,528384,6,128
5,612,531456,6,128
3,613,534528,6,128
5,613,537600,6,128
3,614,540672,6,128
5,614,543744,6,128
3,615,546816,6,128
5,615,549888,6,128
3,616,552960,6,128
18,651,556032,6,128
18,652,559104,6,128
18,653,562176,6,128
18,654,565248,6,128
18,655,568320,6,128
27,664,571392,6,128
27,665,574464,6,128
27,666,577536,6,128
27,667,580608,6,128
27,668,583680,6,128
19,670,586752,6,128
19,671,589824,6,128
19,672,592896,6,128
19,673,595968,6,128
19,674,599040,6,128
25,712,602112,6,128
25,713,605184,6,128
25,714,608256,6,128
25,715,611328,6,128
25,716,614400,6,128
25,717,617472,6,128
25,718,620544,6,128
14,726,623616,6,128
