feeder,report,offset_bytes,n_ch,n_samples
6,48,0,6,128
6,49,3072,6,128
6,50,6144,6,128
6,51,9216,6,128
6,52,12288,6,128
1,60,15360,6,128
1,61,18432,6,128
1,62,21504,6,128
1,63,24576,6,128
1,64,27648,6,128
1,65,30720,6,128
1,66,33792,6,128
7,89,36864,6,128
7,90,39936,6,128
7,91,43008,6,128
7,92,46080,6,128
7,93,49152,6,128
0,240,52224,6,128
0,241,55296,6,128
0,242,58368,6,128
0,243,61440,6,128
0,244,64512,6,128
0,245,67584,6,128
0,246,70656,6,128
6,289,73728,6,128
6,290,76800,6,128
6,291,79872,6,128
6,292,82944,6,128
6,293,86016,6,128
6,294,89088,6,128
6,295,92160,6,128
4,322,95232,6,128
4,323,98304,6,128
4,324,101376,6,128
4,325,104448,6,128
4,326,107520,6,128
7,330,110592,6,128
7,331,113664,6,128
7,332,116736,6,128
7,333,119808,6,128
7,334,122880,6,128
7,335,125952,6,128
7,336,129024,6,128
5,368,132096,6,128
5,369,135168,6,128
5,370,138240,6,128
5,371,141312,6,128
5,372,144384,6,128
4,563,147456,6,128
4,564,150528,6,128
4,565,153600,6,128
4,566,156672,6,128
4,567,159744,6,128
4,568,162816,6,128
4,569,165888,6,128
5,609,168960,6,128
5,610,172032,6,128
5,611,175104,6,128
3,612,178176,6,128
5,612,181248,6,128
3,613,184320,6,128
5,613,187392,6,128
3,614,190464,6,128
5,614,193536,6,128
3,615,196608,6,128
5,615,199680,6,128
3,616,202752,6,128
2,763,205824,6,128
2,764,208896,6,128
2,765,211968,6,128
2,766,215040,6,128
2,767,218112,6,128
3,853,221184,6,128
3,854,224256,6,128
3,855,227328,6,128
3,856,230400,6,128
3,857,233472,6,128
3,858,236544,6,128
3,859,239616,6,128
2,1004,242688,6,128
2,1005,245760,6,128
2,1006,248832,6,128
2,1007,251904,6,128
2,1008,254976,6,128
2,1009,258048,6,128
2,1010,261120,6,128
1,1019,264192,6,128
1,1020,267264,6,128
1,1021,270336,6,128
1,1022,273408,6,128
1,1023,276480,6,128
0,1199,279552,6,128
1,1199,282624,6,128
2,1199,285696,6,128
3,1199,288768,6,128
4,1199,291840,6,128
5,1199,294912,6,128
6,1199,297984,6,128
7,1199,301056,6,128
