method,micro_f1,macro_f1,precision,recall,event_recall,n_event_windows,n_caught,false_alarm_runs,false_alarm_runs_quiet,duty_cycle,duty_cycle_quiet,latency_ms,bandwidth_reduction,n_channels,n_channels_with_events,kappa_h,gap
GridStream,0.028277634961439587,0.07946522672434042,1.0,0.014341590612777053,0.15625,32,5,0,0,0.0006376851016717015,0.0,21.666666666666668,861146.7083333334,36,22,,
Empirical-Q (causal),0.4055600981193786,0.26427605593921544,0.543859649122807,0.32333767926988266,0.5,32,16,2,2,0.0341831239090667,0.0006775759651014586,5.303030303030304,638920.8780378362,36,22,,
Fixed margin,0.8190167477039438,0.8662415819823918,0.6992619926199262,0.9882659713168188,0.9375,32,30,1,0,0.15781985002401758,0.0,0.5681818181818182,388923.06440987607,36,22,,
ATE-Q,0.8593111500291886,0.8474278683333996,0.7780126849894292,0.9595827900912647,0.90625,32,29,0,0,0.13880335029674734,0.0,1.3227513227513228,416702.5480678722,36,22,,
ATE-S,0.8668587896253602,0.9036741993410445,0.7768595041322314,0.9804432855280313,0.9375,32,30,0,0,0.14071957292426704,0.0,0.5681818181818182,388924.41461782553,36,22,,
ATE-M,0.8614492753623189,0.8600202957733477,0.7755741127348643,0.9687092568448501,0.90625,32,29,0,0,0.1381892085517974,0.0,1.1243386243386242,416700.9156159016,36,22,,
ATE-N,0.8412121212121211,0.7765713107379519,0.7859569648924122,0.9048239895697523,0.78125,32,25,0,0,0.12600718201185954,0.0,2.5000000000000004,444478.9746464742,36,22,,
ATE-X,0.8677065280184865,0.8932940184551259,0.779045643153527,0.9791395045632334,0.9375,32,30,0,0,0.1428699620265502,0.0,0.7575757575757577,388923.8850485298,36,22,,
Best constant †,0.8749266001174398,0.9079577789041822,0.7959401709401709,0.9713168187744459,0.90625,32,29,0,0,0.13318907575308866,0.0,0.37878787878787884,388925.00077824056,36,22,3.5,0.5
Hindsight ceiling †,0.9623265036351619,0.956247271268285,0.9758713136729222,0.9491525423728814,0.90625,32,29,1,0,0.11042410467346345,0.0,1.1363636363636365,388923.9572310045,36,22,,
