method,micro_f1,macro_f1,precision,recall,event_recall,n_event_windows,n_caught,false_alarm_runs,false_alarm_runs_quiet,duty_cycle,duty_cycle_quiet,latency_ms,bandwidth_reduction,n_channels,n_channels_with_events,kappa_h,gap
GridStream,0.02872062663185379,0.08741174939677446,1.0,0.01456953642384106,0.1724137931034483,29,5,0,0,0.0007652221220060417,0.0,21.666666666666668,833376.05,30,20,,
Empirical-Q (causal),0.40957886044591246,0.2907036615331369,0.543859649122807,0.32847682119205296,0.5517241379310345,29,16,2,2,0.04101974869088003,0.0009486063511420422,5.303030303030304,566705.0536454035,30,20,,
Fixed margin,0.8208219178082192,0.885365740180631,0.7,0.9920529801324504,0.9655172413793104,29,28,1,0,0.16482241652004914,0.0,0.625,333374.163006137,30,20,,
ATE-Q,0.8608644168146833,0.8588373218334061,0.778372591006424,0.9629139072847682,0.9310344827586207,29,27,0,0,0.14551138877714948,0.0,1.4619883040935673,366709.51323700225,30,20,,
ATE-S,0.8684979544126242,0.9207082859418156,0.7771966527196653,0.9841059602649007,0.9655172413793104,29,28,0,0,0.1478108559301731,0.0,0.625,333375.7530969462,30,20,,
ATE-M,0.862514688601645,0.8685223253506825,0.7750791974656811,0.9721854304635762,0.9310344827586207,29,27,0,0,0.14652880464812182,0.0,1.242690058479532,366707.5331835263,30,20,,
ATE-N,0.8434622467771639,0.7859592110425165,0.7860411899313501,0.909933774834437,0.7931034482758621,29,23,0,0,0.13541914473002092,0.0,2.777777777777778,400041.1512424357,30,20,,
ATE-X,0.8683440608543007,0.8997662774434957,0.7777777777777778,0.9827814569536424,0.9655172413793104,29,28,0,0,0.15390009478273742,0.0,0.8333333333333334,333375.0648360134,30,20,,
Best constant †,0.8763376932223543,0.9201821282231718,0.7950377562028047,0.976158940397351,0.9310344827586207,29,27,0,0,0.1440374172194959,0.0,0.4166666666666667,333376.3826005553,30,20,3.5,0.5
Hindsight ceiling †,0.9638069705093835,0.9618719983951136,0.9755766621438263,0.952317880794702,0.9310344827586207,29,27,1,0,0.11671945192394562,0.0,1.2500000000000002,333375.09867720545,30,20,,
