method,variant,scope,micro_f1,macro_f1,precision,recall,event_recall,n_event_windows,n_caught,false_alarm_runs,false_alarm_runs_quiet,duty_cycle,duty_cycle_quiet,latency_ms,bandwidth_reduction,n_channels,n_channels_with_events
Fixed margin,baseline,"pooled (6 records: 7,45,55,901,907,971)",0.8190167477039438,0.8662415819823918,0.6992619926199262,0.9882659713168188,0.9375,32,30,1,0,0.15781985002401758,0.0,0.5681818181818182,388923.06440987607,36,22
Fixed margin,+dead-release only,"pooled (6 records: 7,45,55,901,907,971)",0.8194594594594594,0.8723021880429979,0.6999076638965835,0.9882659713168188,0.9375,32,30,1,0,0.1565572237613913,0.0,0.5681818181818182,388923.1662617279,36,22
Fixed margin,+latch-timeout only,"pooled (6 records: 7,45,55,901,907,971)",0.8190167477039438,0.8662415819823918,0.6992619926199262,0.9882659713168188,0.9375,32,30,1,0,0.15781985002401758,0.0,0.5681818181818182,388923.06440987607,36,22
Fixed margin,+both (recommendation 1),"pooled (6 records: 7,45,55,901,907,971)",0.8194594594594594,0.8723021880429979,0.6999076638965835,0.9882659713168188,0.9375,32,30,1,0,0.1565572237613913,0.0,0.5681818181818182,388923.1662617279,36,22
ATE-Q,baseline,"pooled (6 records: 7,45,55,901,907,971)",0.8593111500291886,0.8474278683333996,0.7780126849894292,0.9595827900912647,0.90625,32,29,0,0,0.13880335029674734,0.0,1.3227513227513228,416702.5480678722,36,22
ATE-Q,+dead-release only,"pooled (6 records: 7,45,55,901,907,971)",0.8593111500291886,0.8474278683333996,0.7780126849894292,0.9595827900912647,0.90625,32,29,0,0,0.13880335029674734,0.0,1.3227513227513228,416702.5480678722,36,22
ATE-Q,+latch-timeout only,"pooled (6 records: 7,45,55,901,907,971)",0.8593111500291886,0.8474278683333996,0.7780126849894292,0.9595827900912647,0.90625,32,29,0,0,0.13880335029674734,0.0,1.3227513227513228,416702.5480678722,36,22
ATE-Q,+both (recommendation 1),"pooled (6 records: 7,45,55,901,907,971)",0.8593111500291886,0.8474278683333996,0.7780126849894292,0.9595827900912647,0.90625,32,29,0,0,0.13880335029674734,0.0,1.3227513227513228,416702.5480678722,36,22
ATE-S,baseline,"pooled (6 records: 7,45,55,901,907,971)",0.8668587896253602,0.9036741993410445,0.7768595041322314,0.9804432855280313,0.9375,32,30,0,0,0.14071957292426704,0.0,0.5681818181818182,388924.41461782553,36,22
ATE-S,+dead-release only,"pooled (6 records: 7,45,55,901,907,971)",0.8668587896253602,0.9036741993410445,0.7768595041322314,0.9804432855280313,0.9375,32,30,0,0,0.14071957292426704,0.0,0.5681818181818182,388924.41461782553,36,22
ATE-S,+latch-timeout only,"pooled (6 records: 7,45,55,901,907,971)",0.8668587896253602,0.9036741993410445,0.7768595041322314,0.9804432855280313,0.9375,32,30,0,0,0.14071957292426704,0.0,0.5681818181818182,388924.41461782553,36,22
ATE-S,+both (recommendation 1),"pooled (6 records: 7,45,55,901,907,971)",0.8668587896253602,0.9036741993410445,0.7768595041322314,0.9804432855280313,0.9375,32,30,0,0,0.14071957292426704,0.0,0.5681818181818182,388924.41461782553,36,22
ATE-M,baseline,"pooled (6 records: 7,45,55,901,907,971)",0.8614492753623189,0.8600202957733477,0.7755741127348643,0.9687092568448501,0.90625,32,29,0,0,0.1381892085517974,0.0,1.1243386243386242,416700.9156159016,36,22
ATE-M,+dead-release only,"pooled (6 records: 7,45,55,901,907,971)",0.8614492753623189,0.8600202957733477,0.7755741127348643,0.9687092568448501,0.90625,32,29,0,0,0.1381892085517974,0.0,1.1243386243386242,416700.9156159016,36,22
ATE-M,+latch-timeout only,"pooled (6 records: 7,45,55,901,907,971)",0.8614492753623189,0.8600202957733477,0.7755741127348643,0.9687092568448501,0.90625,32,29,0,0,0.1381892085517974,0.0,1.1243386243386242,416700.9156159016,36,22
ATE-M,+both (recommendation 1),"pooled (6 records: 7,45,55,901,907,971)",0.8614492753623189,0.8600202957733477,0.7755741127348643,0.9687092568448501,0.90625,32,29,0,0,0.1381892085517974,0.0,1.1243386243386242,416700.9156159016,36,22
ATE-N,baseline,"pooled (6 records: 7,45,55,901,907,971)",0.8412121212121211,0.7765713107379519,0.7859569648924122,0.9048239895697523,0.78125,32,25,0,0,0.12600718201185954,0.0,2.5000000000000004,444478.9746464742,36,22
ATE-N,+dead-release only,"pooled (6 records: 7,45,55,901,907,971)",0.8412121212121211,0.7765713107379519,0.7859569648924122,0.9048239895697523,0.78125,32,25,0,0,0.12600718201185954,0.0,2.5000000000000004,444478.9746464742,36,22
ATE-N,+latch-timeout only,"pooled (6 records: 7,45,55,901,907,971)",0.8412121212121211,0.7765713107379519,0.7859569648924122,0.9048239895697523,0.78125,32,25,0,0,0.12600718201185954,0.0,2.5000000000000004,444478.9746464742,36,22
ATE-N,+both (recommendation 1),"pooled (6 records: 7,45,55,901,907,971)",0.8412121212121211,0.7765713107379519,0.7859569648924122,0.9048239895697523,0.78125,32,25,0,0,0.12600718201185954,0.0,2.5000000000000004,444478.9746464742,36,22
ATE-X,baseline,"pooled (6 records: 7,45,55,901,907,971)",0.8677065280184865,0.8932940184551259,0.779045643153527,0.9791395045632334,0.9375,32,30,0,0,0.1428699620265502,0.0,0.7575757575757577,388923.8850485298,36,22
ATE-X,+dead-release only,"pooled (6 records: 7,45,55,901,907,971)",0.8692129629629629,0.9069303820914896,0.7814776274713839,0.9791395045632334,0.9375,32,30,0,0,0.13908208323867138,0.0,0.7575757575757577,388924.06838186306,36,22
ATE-X,+latch-timeout only,"pooled (6 records: 7,45,55,901,907,971)",0.8677065280184865,0.8932940184551259,0.779045643153527,0.9791395045632334,0.9375,32,30,0,0,0.1428699620265502,0.0,0.7575757575757577,388923.8850485298,36,22
ATE-X,+both (recommendation 1),"pooled (6 records: 7,45,55,901,907,971)",0.8692129629629629,0.9069303820914896,0.7814776274713839,0.9791395045632334,0.9375,32,30,0,0,0.13908208323867138,0.0,0.7575757575757577,388924.06838186306,36,22
