Family,W_amp,W_acc,W_angle,Unroll,II,Target,Freq,Events,LUT,FF,DSP,BRAM,Period,Area_Score,Fmax_MHz,Meets_Timing
Float,0,0,0,2,2,Spartan-7,50,278,8417,3998,28,0,14.3,10696.0,69.93006993006993,True
Float,0,0,0,2,2,Zynq-US+,300,278,9303,6651,30,0,3.32,12928.5,301.20481927710847,True
Float,0,0,0,2,4,Spartan-7,50,278,8417,3998,28,0,14.3,10696.0,69.93006993006993,True
Float,0,0,0,2,4,Zynq-US+,300,278,9303,6651,30,0,3.32,12928.5,301.20481927710847,True
Float,0,0,0,4,2,Spartan-7,50,278,8417,3998,28,0,14.3,10696.0,69.93006993006993,True
Float,0,0,0,4,2,Zynq-US+,300,278,9303,6651,30,0,3.32,12928.5,301.20481927710847,True
Float,0,0,0,4,4,Spartan-7,50,278,8417,3998,28,0,14.3,10696.0,69.93006993006993,True
Float,0,0,0,4,4,Zynq-US+,300,278,9303,6651,30,0,3.32,12928.5,301.20481927710847,True
Float,0,0,0,8,2,Spartan-7,50,278,8417,3998,28,0,14.3,10696.0,69.93006993006993,True
Float,0,0,0,8,2,Zynq-US+,300,278,9303,6651,30,0,3.32,12928.5,301.20481927710847,True
Float,0,0,0,8,4,Spartan-7,50,278,8417,3998,28,0,14.3,10696.0,69.93006993006993,True
Float,0,0,0,8,4,Zynq-US+,300,278,9303,6651,30,0,3.32,12928.5,301.20481927710847,True
A,16,32,20,1,1,Zynq-US+,300,433,60150,194618,1579,0,2.456,173249.0,407.1661237785016,True
