Family,W_amp,W_acc,W_angle,Unroll,II,Target,Freq,Events,LUT,FF,DSP,BRAM,Period
Float,0,0,0,2,2,Spartan-7,50,278,8417,3998,28,0,14.3
Float,0,0,0,2,2,Zynq-US+,300,278,9303,6651,30,0,3.32
Float,0,0,0,2,4,Spartan-7,50,278,8417,3998,28,0,14.3
Float,0,0,0,2,4,Zynq-US+,300,278,9303,6651,30,0,3.32
Float,0,0,0,4,2,Spartan-7,50,278,8417,3998,28,0,14.3
Float,0,0,0,4,2,Zynq-US+,300,278,9303,6651,30,0,3.32
Float,0,0,0,4,4,Spartan-7,50,278,8417,3998,28,0,14.3
Float,0,0,0,4,4,Zynq-US+,300,278,9303,6651,30,0,3.32
Float,0,0,0,8,2,Spartan-7,50,278,8417,3998,28,0,14.3
Float,0,0,0,8,2,Zynq-US+,300,278,9303,6651,30,0,3.32
Float,0,0,0,8,4,Spartan-7,50,278,8417,3998,28,0,14.3
Float,0,0,0,8,4,Zynq-US+,300,278,9303,6651,30,0,3.32
