Time,Raw,Mag,Freq,ROCOF,EstV,LSE,Trig,Gated
0.0000,-1246.3882,10377.0264,60.0000,0.0000,3079.9590,18717279.9531,0,0.0000
65.1042,-754.4827,10548.6647,60.0000,0.0000,3320.3913,16604598.5739,0,0.0000
130.2083,-254.1511,10720.2525,60.0000,0.0000,3565.7941,14591981.4858,0,0.0000
195.3125,255.2898,10891.7234,60.0000,0.0000,3816.5935,12682883.8124,0,0.0000
260.4167,767.0081,11063.0121,60.0000,0.0000,4072.0404,10923238.1303,0,0.0000
325.5208,1287.8358,11234.0539,60.0000,0.0000,4332.5918,9270539.4179,0,0.0000
390.6250,1806.1584,11404.7808,60.0000,0.0000,4597.4475,7791294.9019,0,0.0000
455.7292,2319.6985,11575.1247,60.0000,0.0000,4867.2415,6489975.1739,0,0.0000
520.8333,2834.3774,11745.0169,60.0000,0.0000,5141.4224,5322456.6248,0,0.0000
585.9375,3331.0652,11914.3827,60.0000,0.0000,5419.3245,4360826.8403,0,0.0000
651.0417,3814.3168,12083.1520,60.0000,0.0000,5701.3835,3561020.7253,0,0.0000
716.1458,4306.6777,12251.2773,60.0000,0.0000,5987.3870,2824783.9525,0,0.0000
781.2500,4801.5437,12418.6829,60.0000,0.0000,6276.4544,2175361.7451,0,0.0000
846.3542,5289.5776,12585.3021,60.0000,0.0000,6569.0241,1636983.2150,0,0.0000
911.4583,5776.2452,12751.0702,60.0000,0.0000,6864.1508,1183538.6776,0,0.0000
976.5625,6263.8237,12915.9349,60.0000,0.0000,7162.2682,807202.6386,0,0.0000
1041.6667,6743.6592,13079.8309,60.0000,0.0000,7462.4630,516678.9284,0,0.0000
1106.7708,7212.5635,13242.6990,60.0000,0.0000,7765.7764,306044.4528,0,0.0000
1171.8750,7680.7846,13404.4655,60.0000,0.0000,8070.6196,151971.2795,0,0.0000
1236.9792,8151.2831,13565.0460,60.0000,0.0000,8376.8815,50894.6590,0,0.0000
1302.0833,8615.6327,13724.3896,60.0000,0.0000,8684.5688,4752.1905,0,0.0000
1367.1875,9073.6058,13882.4415,60.0000,0.0000,8992.9256,6509.2893,0,0.0000
1432.2917,9524.7468,14039.1480,60.0000,0.0000,9302.9489,49194.3344,0,0.0000
1497.3958,9968.1449,14194.4723,60.0000,0.0000,9613.0519,126091.0732,0,0.0000
1562.5000,10400.8395,14348.3729,60.0000,0.0000,9923.5808,227775.9032,0,0.0000
1627.6042,10813.9490,14500.7943,60.0000,0.0000,10233.6124,336790.6048,0,0.0000
1692.7083,11219.9987,14651.6873,60.0000,0.0000,10543.4215,457756.7821,0,0.0000
1757.8125,11622.6324,14801.0072,60.0000,0.0000,10852.7110,592779.0612,0,0.0000
1822.9167,12005.9087,14948.6878,60.0000,0.0000,11161.1391,713635.6749,0,0.0000
1888.0208,12379.6202,15094.6686,60.0000,0.0000,11467.7673,831475.8168,0,0.0000
1953.1250,12755.3813,15238.8971,60.0000,0.0000,11772.8649,965338.4989,0,0.0000
2018.2292,13126.3600,15381.3215,60.0000,0.0000,12076.0916,1103063.8042,0,0.0000
2083.3333,13495.7446,15521.8953,60.0000,0.0000,12376.6952,1252271.5892,0,0.0000
2148.4375,13864.2182,15660.5753,60.0000,0.0000,12674.5954,1415202.3103,0,0.0000
2213.5417,14223.1270,15797.3160,60.0000,0.0000,12969.6121,1571299.4769,0,0.0000
2278.6458,14580.8971,15932.0787,60.0000,0.0000,13260.8627,1742490.6541,0,0.0000
2343.7500,14934.5680,16064.8402,60.0000,0.0000,13549.1080,1919499.3267,0,0.0000
2408.8542,15271.6143,16195.5669,60.0000,0.0000,13832.9373,2069791.6084,0,0.0000
2473.9583,15602.2841,16324.2276,60.0000,0.0000,14112.5536,2219296.9883,0,0.0000
2539.0625,15923.8445,16450.8013,60.0000,0.0000,14387.6443,2359911.1017,0,0.0000
2604.1667,16227.1862,16575.2570,60.0000,0.0000,14657.3636,2464342.9116,0,0.0000
2669.2708,16526.4286,16697.5754,60.0000,0.0000,14921.9051,2574495.8071,0,0.0000
2734.3750,16824.5325,16817.7489,60.0000,0.0000,15180.9545,2701348.4645,0,0.0000
